EmployeeID,Name,Gender,Age,Department,JobRole,Education,Salary,HireDate,Attrition,PerformanceRating,Location,YearsAtCompany
2094,Zain Ganesh,Male,35,Finance,Accountant,Bachelors,2392737,2016-08-25,No,3,Chennai,8
9173,Lagan Ranganathan,Female,37,HR,HR Executive,Diploma,1138422,2020-10-06,Yes,4,Mumbai,4
4219,Miraya Chaudhuri,Male,21,R&D,Research Associate,Bachelors,324616,2022-11-30,No,3,Chennai,2
6316,Dharmajan Som,Female,59,Administration,Office Assistant,Diploma,1873112,2017-07-10,No,3,Pune,7
5458,Riaan Dass,Female,60,HR,HR Manager,High School,2478480,2021-05-02,Yes,3,Kolkata,4
8519,Tanya Rau,Male,44,Marketing,Digital Marketer,High School,1424134,2018-05-24,No,3,Mumbai,6
8459,Sumer Sengupta,Male,55,IT Support,Helpdesk Support,PhD,677114,2020-03-07,No,3,Hyderabad,5
1300,Diya Jani,Male,23,HR,HR Manager,PhD,2201927,2024-03-18,No,4,Hyderabad,1
5651,Shaan Srinivasan,Male,46,Marketing,Marketing Specialist,Bachelors,2025410,2018-10-17,No,3,Pune,6
2385,Dhruv Mannan,Female,21,Sales,Sales Manager,Bachelors,577503,2023-03-30,No,4,Delhi,2
9044,Jiya Kohli,Female,30,Marketing,Marketing Specialist,Masters,2019914,2025-03-30,No,3,Bangalore,0
8216,Ivana Sampath,Female,40,HR,HR Executive,PhD,1991176,2022-03-12,No,4,Hyderabad,3
6143,Navya Dhawan,Female,30,Sales,Sales Executive,Bachelors,1522621,2020-01-22,Yes,5,Pune,5
2134,Rhea Thaker,Female,36,Finance,Accountant,Diploma,804913,2020-06-11,No,3,Kolkata,4
7852,Kartik Atwal,Female,36,Sales,Sales Manager,High School,1081822,2022-09-13,Yes,3,Mumbai,2
2574,Saksham Sani,Female,41,R&D,Research Associate,PhD,744141,2017-09-19,No,2,Bangalore,7
6170,Pari Krishna,Male,26,HR,HR Executive,Diploma,944362,2018-12-17,No,3,Delhi,6
6581,Devansh Vaidya,Male,48,IT Support,Helpdesk Support,Masters,540640,2023-05-28,No,3,Pune,1
1552,Onkar Sethi,Male,33,IT Support,Helpdesk Support,High School,1161078,2020-11-27,No,3,Bangalore,4
5252,Jayan Ramanathan,Female,55,R&D,Research Associate,Diploma,1202490,2022-07-06,No,3,Delhi,2
5049,Heer Buch,Female,45,R&D,Research Associate,PhD,2150298,2020-07-02,No,4,Bangalore,4
1745,Vihaan Aggarwal,Male,45,HR,HR Manager,Bachelors,772484,2022-05-18,No,3,Mumbai,2
5364,Chirag Raju,Male,27,Sales,Sales Executive,High School,1283819,2018-12-12,No,4,Delhi,6
1878,Amira Anne,Female,60,IT Support,IT Technician,Bachelors,810869,2018-02-16,Yes,3,Pune,7
4161,Indrans Bandi,Female,47,Administration,Office Assistant,Diploma,1179913,2023-03-31,No,5,Hyderabad,2
2690,Elakshi Vyas,Male,60,Administration,Admin Manager,PhD,2275994,2019-01-07,No,1,Hyderabad,6
9941,Neysa Basu,Male,48,Sales,Sales Manager,Diploma,2102117,2016-04-20,No,2,Mumbai,9
3812,Shalv Keer,Male,39,IT Support,Helpdesk Support,High School,2270883,2020-04-02,No,2,Hyderabad,5
4649,Madhup Ramanathan,Female,23,R&D,Research Associate,Diploma,2093720,2015-05-27,Yes,5,Mumbai,9
4106,Faiyaz De,Male,38,IT Support,Helpdesk Support,Bachelors,1714004,2017-06-27,No,3,Hyderabad,7
8047,Anya Ramaswamy,Female,21,Sales,Sales Manager,Diploma,1840272,2025-02-04,No,4,Bangalore,0
9833,Saksham Shukla,Female,38,Engineering,Software Engineer,Bachelors,1777756,2018-02-25,No,4,Bangalore,7
4519,Yakshit Shankar,Female,52,Engineering,Software Engineer,Masters,2035449,2019-01-07,Yes,5,Kolkata,6
3486,Suhana Ganguly,Female,47,IT Support,IT Technician,Diploma,2031012,2023-12-12,No,2,Pune,1
2800,Shanaya Wason,Female,45,Marketing,Digital Marketer,PhD,2143115,2019-02-24,No,3,Pune,6
2623,Shanaya Saini,Female,45,IT Support,IT Technician,Diploma,1294402,2022-08-21,Yes,3,Bangalore,2
3916,Raunak Srivastava,Male,24,Sales,Sales Manager,High School,1653525,2019-03-11,No,5,Hyderabad,6
6836,Jhanvi Wason,Male,24,IT Support,Helpdesk Support,Masters,2015330,2024-06-18,No,3,Kolkata,0
8697,Ryan Ramanathan,Male,25,Marketing,Digital Marketer,Diploma,2395439,2021-08-11,No,3,Kolkata,3
2068,Tanya Mammen,Female,30,HR,HR Executive,PhD,2025626,2025-02-04,No,3,Kolkata,0
8973,Prisha Virk,Female,32,HR,HR Executive,Masters,2334213,2022-08-08,No,3,Mumbai,2
1137,Trisha Tank,Male,46,HR,HR Manager,PhD,979508,2024-05-28,No,3,Delhi,0
7455,Alisha Acharya,Male,24,Engineering,QA Analyst,Bachelors,883099,2022-05-22,No,3,Pune,2
5985,Aarush Chanda,Female,49,HR,HR Manager,Bachelors,2433848,2022-12-08,No,4,Delhi,2
5872,Yasmin Ahluwalia,Female,29,Engineering,Software Engineer,Diploma,1608575,2019-06-01,No,3,Mumbai,5
2143,Akarsh Lad,Female,24,HR,HR Executive,Bachelors,1555364,2020-03-03,Yes,4,Delhi,5
8262,Neelofar Thaman,Male,37,Administration,Office Assistant,PhD,889703,2017-02-24,No,3,Chennai,8
2608,Indrans Deep,Male,40,Marketing,Digital Marketer,Masters,932674,2022-02-10,No,4,Chennai,3
3575,Indranil Ramachandran,Female,43,Administration,Admin Manager,High School,1463872,2025-02-08,Yes,4,Kolkata,0
4245,Zaina Tailor,Male,35,Administration,Office Assistant,High School,784924,2019-02-01,Yes,3,Delhi,6
8773,Reyansh Krishna,Female,35,HR,HR Executive,High School,2163489,2020-12-21,No,3,Pune,4
3864,Diya Hans,Male,34,Sales,Sales Executive,Diploma,567004,2022-11-01,No,3,Chennai,2
5192,Aarav Dixit,Female,39,R&D,Research Associate,Bachelors,1512234,2024-02-17,Yes,3,Mumbai,1
9774,Lakshay Jaggi,Female,39,Marketing,Marketing Specialist,Diploma,1071766,2023-08-13,No,2,Mumbai,1
4356,Aaryahi Yohannan,Female,40,Administration,Admin Manager,Bachelors,2025688,2023-12-17,No,2,Mumbai,1
1510,Purab Sangha,Male,40,R&D,Lab Technician,Diploma,1316998,2020-12-04,No,3,Kolkata,4
7431,Urvi Gupta,Female,54,Finance,Accountant,High School,1775048,2023-05-01,No,3,Kolkata,2
9467,Heer Tailor,Male,37,Sales,Sales Manager,High School,634347,2020-04-10,No,2,Bangalore,5
4942,Vedika Upadhyay,Male,24,HR,HR Manager,PhD,1886700,2015-11-26,No,5,Delhi,9
4571,Indranil Goda,Male,49,HR,HR Manager,PhD,2318534,2016-11-29,No,3,Delhi,8
9083,Farhan Anne,Male,28,Engineering,Software Engineer,Diploma,680588,2016-09-21,No,1,Kolkata,8
7975,Romil Biswas,Female,47,Marketing,Digital Marketer,PhD,1396006,2023-01-09,No,5,Delhi,2
7734,Sahil Swaminathan,Female,43,IT Support,Helpdesk Support,Masters,2021273,2020-07-06,No,3,Pune,4
4083,Sahil Bora,Female,35,Engineering,Senior Developer,Masters,856513,2021-01-10,Yes,4,Chennai,4
5908,Tiya Swaminathan,Male,53,Sales,Sales Manager,High School,1714851,2025-03-16,Yes,4,Bangalore,0
1389,Saira Banerjee,Male,23,Marketing,Marketing Specialist,Masters,1879348,2017-10-04,No,1,Kolkata,7
1212,Diya Sha,Male,37,Engineering,Senior Developer,PhD,688631,2017-01-12,No,4,Hyderabad,8
9861,Nehmat Lalla,Female,29,Sales,Sales Executive,PhD,382974,2017-02-19,No,4,Mumbai,8
6476,Neysa Chhabra,Female,35,Engineering,Senior Developer,Bachelors,1424926,2017-12-13,No,3,Hyderabad,7
2298,Samiha Chowdhury,Male,26,HR,HR Manager,Bachelors,811614,2023-08-04,No,4,Pune,1
9174,Rohan Keer,Female,22,Administration,Office Assistant,Masters,1413318,2020-04-23,Yes,3,Delhi,5
1637,Drishya Viswanathan,Female,30,IT Support,Helpdesk Support,Diploma,1738877,2019-12-03,No,4,Mumbai,5
8149,Farhan Sastry,Female,35,R&D,Research Associate,PhD,348847,2020-08-02,No,3,Delhi,4
5544,Miraya Wagle,Male,42,Administration,Admin Manager,PhD,2292832,2024-07-16,Yes,2,Kolkata,0
7881,Myra Ravel,Male,52,Engineering,Software Engineer,Bachelors,1865727,2022-04-05,No,4,Delhi,3
2202,Kashvi Chawla,Male,31,IT Support,IT Technician,Diploma,1461773,2022-12-01,No,4,Bangalore,2
6325,Parinaaz Chad,Female,46,Sales,Sales Executive,Masters,788562,2019-02-08,No,1,Chennai,6
4750,Damini Comar,Female,31,Administration,Office Assistant,Bachelors,2272677,2015-10-06,No,3,Delhi,9
4068,Devansh Kibe,Female,21,Marketing,Digital Marketer,Bachelors,2465756,2024-02-25,No,3,Chennai,1
6077,Myra Edwin,Female,28,Administration,Admin Manager,Masters,2233175,2019-04-08,No,2,Delhi,6
3667,Divit Bhatti,Female,39,HR,HR Executive,Bachelors,1033594,2024-05-09,Yes,3,Delhi,0
8432,Jivika Setty,Male,37,Finance,Financial Analyst,Masters,1910293,2022-01-09,No,4,Bangalore,3
1681,Hrishita Bath,Male,33,Sales,Sales Executive,Diploma,426841,2020-02-10,No,3,Kolkata,5
2550,Vaibhav Keer,Female,43,Administration,Admin Manager,Diploma,984090,2020-01-21,No,4,Pune,5
3782,Oorja Bath,Male,40,R&D,Lab Technician,PhD,2317482,2019-05-31,No,4,Mumbai,5
9509,Renee Jain,Female,35,R&D,Research Associate,Masters,1730622,2017-07-21,No,5,Kolkata,7
3114,Farhan Mahajan,Male,21,Engineering,Senior Developer,Diploma,2257949,2021-07-13,Yes,3,Hyderabad,3
1471,Charvi Doshi,Female,54,HR,HR Executive,PhD,2198240,2023-01-26,No,3,Mumbai,2
6985,Aarav Kant,Male,43,Sales,Sales Manager,Diploma,1454526,2018-12-06,No,3,Delhi,6
4749,Neysa Sabharwal,Female,32,Administration,Office Assistant,Bachelors,743375,2015-09-10,No,3,Chennai,9
6497,Yashvi Kohli,Male,25,Sales,Sales Manager,Masters,1054724,2021-12-23,No,3,Kolkata,3
5465,Umang Saran,Female,55,IT Support,IT Technician,PhD,1331526,2020-11-12,No,3,Hyderabad,4
6948,Zara Sharaf,Male,44,Finance,Financial Analyst,Diploma,1017042,2020-09-13,No,4,Hyderabad,4
6584,Ivan Lala,Male,57,IT Support,IT Technician,Masters,841341,2024-11-11,No,5,Kolkata,0
2099,Suhana Biswas,Male,44,R&D,Research Associate,Masters,1697811,2020-09-10,No,4,Hyderabad,4
2330,Divit Issac,Female,40,Marketing,Marketing Specialist,PhD,1872240,2015-07-22,No,2,Delhi,9
5029,Shaan Aggarwal,Male,34,Sales,Sales Executive,PhD,2096000,2015-11-11,No,3,Hyderabad,9
4410,Dhruv Kadakia,Female,33,Marketing,Digital Marketer,High School,1586340,2022-08-17,Yes,3,Kolkata,2
2596,Yuvaan Andra,Female,36,R&D,Research Associate,Bachelors,608560,2018-02-04,No,4,Delhi,7
5943,Yuvraj  Doshi,Male,40,Engineering,Senior Developer,Bachelors,469523,2025-01-27,No,1,Pune,0
7429,Saira Singh,Male,34,Sales,Sales Executive,High School,2162710,2021-09-18,No,4,Kolkata,3
6326,Biju Kale,Female,23,Finance,Financial Analyst,High School,302591,2019-07-09,No,3,Mumbai,5
5131,Darshit Hegde,Female,30,R&D,Lab Technician,Bachelors,1284799,2024-11-26,No,3,Kolkata,0
1516,Jhanvi Jha,Female,54,Sales,Sales Executive,Bachelors,868347,2022-07-29,Yes,5,Kolkata,2
1124,Ishaan Bali,Female,23,IT Support,IT Technician,PhD,1063355,2020-12-22,No,3,Mumbai,4
2430,Krish Raval,Female,42,HR,HR Executive,Diploma,2368766,2019-03-26,No,3,Chennai,6
6358,Rasha Bera,Male,56,Finance,Accountant,PhD,1576684,2016-12-17,No,4,Kolkata,8
8903,Dishani Rattan,Female,25,R&D,Research Associate,Masters,281558,2023-09-30,No,3,Kolkata,1
3381,Zain Suri,Male,40,Marketing,Marketing Specialist,Diploma,2179215,2023-01-26,No,4,Hyderabad,2
7413,Aradhya Iyengar,Male,30,Engineering,Senior Developer,PhD,1471658,2020-12-16,Yes,5,Bangalore,4
3973,Biju Sani,Male,51,HR,HR Executive,High School,1330486,2017-05-25,No,5,Pune,7
9671,Madhup Chaudhary,Female,48,R&D,Lab Technician,High School,1196678,2017-07-02,No,4,Kolkata,7
9404,Arhaan Suri,Female,28,HR,HR Executive,High School,2015180,2025-04-12,No,5,Mumbai,0
1925,Badal Borde,Female,59,Sales,Sales Manager,High School,572799,2022-01-05,No,4,Chennai,3
5244,Chirag Chaudry,Female,45,IT Support,Helpdesk Support,PhD,333486,2022-12-27,No,3,Delhi,2
9472,Umang Sidhu,Male,32,R&D,Research Associate,Bachelors,1820947,2020-01-08,No,3,Kolkata,5
3625,Mamooty Kar,Male,30,R&D,Research Associate,High School,979215,2016-12-17,Yes,3,Pune,8
9055,Kabir Saraf,Female,54,Engineering,QA Analyst,High School,773612,2020-03-04,No,2,Bangalore,5
